id_;Ciiu_cl;GlosaCiiu;Factor
40396;49230;Transporte de carga por carretera;143,4597164
40397;49230;Transporte de carga por carretera;28,73028786
40398;49230;Transporte de carga por carretera;1,873287497
40399;49230;Transporte de carga por carretera;28,73028786
40400;49230;Transporte de carga por carretera;143,4597164
40401;49230;Transporte de carga por carretera;1,873287497
40402;49230;Transporte de carga por carretera;1,873287497
40403;49230;Transporte de carga por carretera;1,873287497
40404;49230;Transporte de carga por carretera;143,4597164
40405;49230;Transporte de carga por carretera;1,873287497
40406;49230;Transporte de carga por carretera;28,73028786
40407;49230;Transporte de carga por carretera;1,873287497
40408;49230;Transporte de carga por carretera;1,873287497
40409;49230;Transporte de carga por carretera;1,873287497
40410;49230;Transporte de carga por carretera;1,873287497
40411;49230;Transporte de carga por carretera;1,873287497
40412;49230;Transporte de carga por carretera;143,4597164
40413;49230;Transporte de carga por carretera;1,873287497
40414;49230;Transporte de carga por carretera;143,4597164
40415;49230;Transporte de carga por carretera;143,4597164
