"id","name","tipo","total"
457,"F AIRE FIAT CITY","Ampolletas",8
458,"F AIRE","Ampolletas",3
459,"F POLEN","Bobinas",1
460,"F AIRE MG ROBER CONFORTPLUS 1..5","Ampolletas",11
461,"F POLEN MEG CONFORT PLUS 1","Bobinas",3
462,"F OIL CHERY TIGGO 1.6","Anticongelante",5
463,"F FUEL WK820/18 M BENZ","Baterias",1
464,"F FUEL PETROLEO VW AMAROK 2.0 TDI","Baterias",3
465,"F FUEL NISSAN NP-300","Baterias",15
466,"F OIL W811/80 HYUNDAI/KIA/FORD","Anticongelante",4
467,"F OIL INFINITI Q30-Q50","Anticongelante",3
468,"F AIRE RENAULT DOKKER","Ampolletas",7
469,"F FUEL COMBUSTIBLE FORD TRANSIT 2.2","Baterias",4
470,"F POLEN FORD EDGE 2.0/3.5","Bobinas",4
471,"F AIRE FORD F150","Ampolletas",5
472,"F AIRE FORD ECOSPORT 1.5","Ampolletas",5
473,"F AIRE SSANGYONG 2.0 NUEVO/2.2","Ampolletas",11
474,"F AIRE CHERRY TIGGO","Ampolletas",2
475,"F AIRE TOYOTA","Ampolletas",11
476,"F AIRE PEUGEOT EXPENT 2.0","Ampolletas",9
477,"F AIRE MAXUS V80","Ampolletas",5
478,"F AIRE KIA","Ampolletas",5
479,"F POLEN TOYOTA","Bobinas",6
480,"F POLEN VW TIGUAN 1.4 16V","Bobinas",6
481,"F AIRE KIA CARNIVAL 2015","Ampolletas",3
482,"F AIRE HYUNDAI ELANTRA 2016","Ampolletas",2
483,"F AIRE HYUNDAI GRNAD I10 1.2","Ampolletas",5
484,"F OIL FORD TRANSIT 2.2","Anticongelante",5
485,"F FUEL PETROLEO AMAROK 2.0 TD 180CV","Baterias",12
486,"F AIRE HYUNDAI","Ampolletas",3
487,"F OIL BMW","Anticongelante",6
488,"F OIL PEUGEOT","Anticongelante",6
489,"F FUEL PETROLEO CAPTIVA","Baterias",8
490,"F AIRE KIA SORENTO 2.2 2016","Ampolletas",3
491,"F AIRE ELEM PETROLEO C-ELYSEE 1-6 H","Ampolletas",4
492,"F AIRE G.WALL WINGLE 2.2 201","Ampolletas",3
493,"F AIRE HYUNDAI D3300 TUCSON 2.0 20","Ampolletas",7
494,"F AIRE HYUNDAI","Ampolletas",3
495,"KIA RIO ANTIGUO","Ampolletas",2
496,"F AIRE CHERVROLET S10/BLAZER","Ampolletas",1
497,"F AIRE CHEVROLET","Ampolletas",2
498,"F AIRE GM CHEVROLET LUV","Ampolletas",4
499,"F AIRE NISSAN","Ampolletas",4
500,"F AIRE MITSUBISHI","Ampolletas",6
501,"F AIRE TOYOTA L-2546 C2513 (UK-7257)","Ampolletas",10
502,"F FUEL LUV D LK-714/1","Baterias",5
503,"F OIL KIA BESTA","Anticongelante",5
504,"F FUEL COMBUSTIBLE KIA BESTA","Baterias",12
505,"F OIL NISSAN D-21","Anticongelante",9
506,"F FUEL NISSAN LK932/80","Baterias",5
507,"F OIL FORD PARTNER 1.9","Anticongelante",2
508,"F FUEL CHEVROLT LUV 2.3","Baterias",3
509,"F OIL ACEITE L14459 W818/8 HK","Anticongelante",60
510,"F OIL ACEITE L10111 712/22","Anticongelante",33
511,"F OIL L24457 713/1","Anticongelante",17
512,"F OIL L10241 712/55","Anticongelante",14
513,"F OIL L14612 67/80","Anticongelante",2
514,"F OIL ACEITE L14476 W68/80","Anticongelante",31
515,"F OIL L1 14477 610/80","Anticongelante",17
516,"F OIL L1 4610 610/82","Anticongelante",36
517,"F OIL W-719/15 L1019","Anticongelante",15
518,"F OIL L20195 719/27","Anticongelante",13
519,"F OIL HK HU - 612 HYUNDAI","Anticongelante",7
520,"F AIRE HYUNDAI","Ampolletas",15
521,"F OIL HU819/1X D2","Anticongelante",8
522,"F AIRE MAZDA 3 1.6 04","Ampolletas",6
523,"F AIRE PEUGEOT L-3087","Ampolletas",2
524,"F AIRE OPEL COMBO","Ampolletas",5
525,"F AIRE CITROEN L-3485/1","Ampolletas",4
526,"F AIRE ECOSPORT 1.6 04","Ampolletas",7
527,"F AIRE PEUGEOT L-17278","Ampolletas",12
528,"F OIL HU-711/51X","Anticongelante",9
529,"F OIL L17696 W75/2","Anticongelante",7
530,"F OIL L18071 67/81","Anticongelante",37
531,"F AIRE PEUGEOT PARTNER","Ampolletas",6
532,"F AIRE HYUNDAI L -2631","Ampolletas",6
533,"F AIRE POLEN HYUNDAI","Ampolletas",3
534,"F AIRE MITSUBISHI","Ampolletas",5
535,"FILTRO GASOLINA NISSAN BENCINA","Baterias",1
536,"F AIRE HYUNDAI NEW ACCENT","Ampolletas",5
537,"F OIL H-100 D. WP 928/81 MITSUBISHI","Anticongelante",26
538,"F OIL LUV DIESEL","Anticongelante",2
539,"F OIL FUEL CHEVROLET SPARK GT 1.2","Anticongelante",4
540,"F AIRE HRYSLER CHEROKEE 2.5","Ampolletas",4
541,"F AIRE NISSA","Ampolletas",3
542,"F AIRE SUZUKI ALTO C-1517","Ampolletas",3
543,"F AIRE SUZUKI GRAND NOMADE","Ampolletas",4
544,"F AIRE CHEVROLET VIVANT VW","Ampolletas",11
545,"F AIRE CITROEN L-3282","Ampolletas",4
546,"F AIRE SSANGYONG REXXTON 2.7/ MAGINGRA","Ampolletas",13
547,"F OIL HK HU- 716/2X PEUGEOT 1.6 ANTIGUO","Anticongelante",54
548,"F OIL HK L 713/16 FIAT","Anticongelante",13
549,"F AIRE TOYOTA NEW YARIS","Ampolletas",3
550,"F OIL HK L 912/8 HYUNDAI","Anticongelante",10
551,"BOBINA DE ENCENDIDO TOYOTA YARIS TODOS","aceite_elemento",1
552,"F AIRE DAEWOO MUSSO GSL","Ampolletas",3
553,"F AIRE TOYOTA HIACE 3.0 2011","Ampolletas",3
554,"F POLEN HYUNDAI N.TUCSON2.0","Bobinas",4
555,"F AIRE UK-8562 CHERY TIGGO 3","Ampolletas",6
556,"F AIRE UK-8140 MG GS5 1.6","Ampolletas",1
557,"F AIRE HYUNDAI TUCSON 2.0","Ampolletas",3
559,"F OIL ACEITE L14476 W68/80","Anticongelante",1
562,"A BRAKE WAGNER 21B L1","Cables de Bujia",13
563,"A FORD MOTORCRAFT SAE 10W-40 L1","Cables de Bujia",5
564,"A FEDERAL PLATINUM 10W-40 BEND SYNTHETIC 3,8L","Cables de Bujia",6
565,"A FEDERAL PLATINUM 10W-40 BEND SYNTHETIC API SN PLUS 3,8L","Cables de Bujia",10
566,"A FEDERAL SUPER 20W-50 3,8L","Cables de Bujia",4
568,"A LUBRAX 10W40 4L","Cables de Bujia",7
569,"A LUBRAX 20W-50 4L","Cables de Bujia",12
570,"A MOBIL SUPER 2000 10W-40 SEMI-SYNTHETIC 4L","Cables de Bujia",29
571,"A PETRONA 10W40 4L SEMI SYNTHETIC","Cables de Bujia",2
572,"A PETRONA 15W40 4L","Cables de Bujia",65
573,"A PETRONA 20W-50 MINERAL 4L","Cables de Bujia",1
574,"A PETRONA 5W30 4L FULL SYNTHETIC","Cables de Bujia",43
575,"A MANUAL TRANSMISSION 75W-80 1L","Cables de Bujia",8
